Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,21.299999,22.841999,21.299999,22.670000,22.670000,1272300
2019-10-28,22.940001,24.320000,22.940001,23.750000,23.750000,1332200
2019-10-29,23.510000,23.790001,22.610001,23.080000,23.080000,946200
2019-10-30,22.870001,23.230000,22.299999,22.490000,22.490000,1061000
2019-10-31,22.350000,22.639999,21.059999,21.190001,21.190001,1784200
2019-11-01,21.629999,22.389999,21.360001,22.110001,22.110001,1576400
2019-11-04,22.670000,24.166000,22.485001,23.629999,23.629999,1997400
2019-11-05,23.900000,24.870001,23.690001,23.950001,23.950001,1551600
2019-11-06,23.780001,23.830000,23.160000,23.500000,23.500000,1326400
2019-11-07,24.920000,26.190001,24.629999,24.850000,24.850000,5076400
2019-11-08,24.809999,25.120001,24.145000,24.459999,24.459999,1807300
2019-11-11,24.049999,24.480000,20.910000,21.240000,21.240000,4073600
2019-11-12,21.360001,22.490000,21.094999,22.000000,22.000000,1347100
2019-11-13,21.500000,21.750000,20.520000,21.080000,21.080000,1223700
2019-11-14,21.170000,21.389999,20.129999,20.360001,20.360001,1264600
2019-11-15,20.480000,21.129999,20.414000,20.719999,20.719999,1125100
2019-11-18,20.480000,20.780001,20.090000,20.690001,20.690001,961200
2019-11-19,20.900000,21.129999,20.350000,21.070000,21.070000,821600
2019-11-20,20.629999,20.959999,19.459999,19.840000,19.840000,1578600
2019-11-21,20.320000,20.600000,19.610001,20.219999,20.219999,1229800
2019-11-22,20.490000,21.549999,20.250000,21.459999,21.459999,786400
2019-11-25,21.410000,22.200001,20.860001,22.059999,22.059999,1291800
2019-11-26,22.020000,22.540001,21.549999,21.889999,21.889999,1407600
2019-11-27,21.840000,22.570000,21.590000,22.469999,22.469999,692800
2019-11-29,22.080000,22.440001,21.740000,21.860001,21.860001,710800
2019-12-02,22.020000,22.490000,21.645000,22.490000,22.490000,809800
2019-12-03,21.889999,21.940001,20.180000,20.580000,20.580000,2150300
2019-12-04,20.809999,21.980000,20.809999,20.959999,20.959999,1177300
2019-12-05,21.340000,21.530001,20.950001,21.260000,21.260000,683900
2019-12-06,21.770000,23.035000,21.660000,23.010000,23.010000,1250800
2019-12-09,22.889999,23.870001,22.820000,23.690001,23.690001,1000100
2019-12-10,23.730000,23.730000,23.080000,23.389999,23.389999,813000
2019-12-11,23.760000,23.987000,23.379999,23.700001,23.700001,805600
2019-12-12,23.799999,24.709999,23.209999,24.610001,24.610001,1308200
2019-12-13,24.500000,24.680000,22.740000,22.910000,22.910000,964700
2019-12-16,23.320000,23.985001,23.212000,23.530001,23.530001,812500
2019-12-17,23.680000,23.700001,22.850000,23.510000,23.510000,784800
2019-12-18,23.549999,23.910000,23.280001,23.750000,23.750000,744900
2019-12-19,23.719999,23.780001,23.010000,23.070000,23.070000,623400
2019-12-20,23.250000,23.330000,20.940001,21.000000,21.000000,2292500
2019-12-23,20.900000,21.360001,20.799999,21.150000,21.150000,1312800
2019-12-24,21.190001,21.340000,20.950001,21.080000,21.080000,448600
2019-12-26,21.340000,21.450001,20.889999,21.290001,21.290001,652200
2019-12-27,21.250000,21.820000,21.209999,21.250000,21.250000,674200
2019-12-30,21.250000,21.680000,21.025000,21.190001,21.190001,680000
2019-12-31,21.120001,21.730000,21.120001,21.250000,21.250000,764800
2020-01-02,21.770000,22.125000,21.389999,22.100000,22.100000,1587600
2020-01-03,21.379999,21.760000,20.610001,20.680000,20.680000,1963600
2020-01-06,20.320000,20.879999,20.120001,20.780001,20.780001,996400
2020-01-07,20.680000,21.305000,20.580000,21.190001,21.190001,696900
2020-01-08,21.129999,21.180000,20.100000,20.930000,20.930000,963100
2020-01-09,21.010000,21.350000,20.475000,20.620001,20.620001,902900
2020-01-10,20.709999,20.760000,20.090000,20.469999,20.469999,876300
2020-01-13,20.379999,20.870001,20.049999,20.860001,20.860001,872100
2020-01-14,20.870001,21.660000,20.540001,21.270000,21.270000,960900
2020-01-15,21.170000,21.540001,20.500000,21.389999,21.389999,978200
2020-01-16,21.440001,22.230000,21.440001,21.930000,21.930000,853400
2020-01-17,22.110001,22.240000,21.450001,21.840000,21.840000,1194200
2020-01-21,21.590000,21.770000,20.570000,20.799999,20.799999,754500
2020-01-22,20.799999,21.600000,20.750000,21.590000,21.590000,831600
2020-01-23,21.250000,21.490000,20.530001,21.260000,21.260000,1461800
2020-01-24,21.230000,21.320000,19.660000,20.270000,20.270000,1254200
2020-01-27,19.900000,20.035000,19.250000,19.330000,19.330000,2072300
2020-01-28,19.650000,20.120001,18.910000,18.950001,18.950001,1952900
2020-01-29,19.180000,19.990000,19.148001,19.590000,19.590000,1232100
2020-01-30,19.200001,19.400000,18.580000,19.320000,19.320000,1930300
2020-01-31,23.860001,25.850000,23.500000,25.709999,25.709999,10068900
2020-02-03,25.870001,26.620001,24.860001,26.190001,26.190001,3852600
2020-02-04,26.770000,27.809999,26.320000,27.129999,27.129999,2616300
2020-02-05,27.620001,28.280001,27.240000,28.020000,28.020000,1880500
2020-02-06,27.969999,28.250000,27.548000,27.930000,27.930000,1771300
2020-02-07,27.400000,27.590000,26.455000,26.920000,26.920000,1353300
2020-02-10,26.860001,27.490000,26.575001,27.120001,27.120001,1496300
2020-02-11,27.129999,27.889999,26.889999,27.230000,27.230000,1749200
2020-02-12,28.280001,29.275000,28.230000,28.420000,28.420000,1527200
2020-02-13,27.910000,28.261000,27.340000,27.830000,27.830000,1288200
2020-02-14,27.760000,27.980000,27.052999,27.650000,27.650000,1379200
2020-02-18,27.469999,28.514999,27.448000,27.860001,27.860001,800700
2020-02-19,27.980000,28.250000,27.480000,27.730000,27.730000,887000
2020-02-20,27.440001,28.465000,27.370001,28.240000,28.240000,1278800
2020-02-21,28.080000,28.280001,26.629999,26.969999,26.969999,1042800
2020-02-24,25.969999,26.219999,24.730000,25.549999,25.549999,1539900
2020-02-25,25.559999,26.290001,24.750000,25.290001,25.290001,2316200
2020-02-26,25.930000,26.295000,25.219999,25.270000,25.270000,1816500
2020-02-27,24.500000,25.270000,23.590000,24.000000,24.000000,2022600
2020-02-28,22.940001,24.280001,22.889999,23.930000,23.930000,2155000
2020-03-02,23.889999,24.030001,22.570000,23.530001,23.530001,1554700
2020-03-03,23.480000,23.530001,21.645000,21.809999,21.809999,1648100
2020-03-04,22.240000,22.240000,21.280001,21.920000,21.920000,1368100
2020-03-05,20.860001,21.150000,19.725000,19.950001,19.950001,2298100
2020-03-06,19.459999,20.490000,19.059999,20.160000,20.160000,2261600
2020-03-09,18.799999,19.080000,16.840000,17.010000,17.010000,1892200
2020-03-10,18.059999,18.139999,16.174999,17.110001,17.110001,2377700
2020-03-11,16.540001,17.139999,15.875000,16.450001,16.450001,2124200
2020-03-12,15.550000,15.970000,13.160000,13.240000,13.240000,1919500
2020-03-13,14.200000,14.310000,12.120000,13.950000,13.950000,1732200
2020-03-16,12.000000,12.250000,9.300000,9.540000,9.540000,2422900
2020-03-17,9.630000,9.935000,8.130000,8.500000,8.500000,3177900
2020-03-18,8.020000,8.100000,5.900000,6.530000,6.530000,2572200
2020-03-19,6.490000,8.730000,6.210000,8.500000,8.500000,2877600
2020-03-20,8.800000,9.809000,8.200000,8.610000,8.610000,4312700
2020-03-23,8.670000,10.310000,8.430000,9.520000,9.520000,2339700
2020-03-24,10.020000,12.440000,9.990000,11.570000,11.570000,3483800
2020-03-25,12.070000,12.230000,10.345000,11.450000,11.450000,2441800
2020-03-26,11.750000,12.770000,11.320000,11.620000,11.620000,1651000
2020-03-27,11.020000,11.020000,9.130000,9.170000,9.170000,1885000
2020-03-30,9.160000,9.410000,8.360000,9.350000,9.350000,1698500
2020-03-31,9.300000,9.870000,8.740000,9.070000,9.070000,1828500
2020-04-01,8.520000,8.560000,7.550000,7.560000,7.560000,2349700
2020-04-02,7.630000,8.330000,7.320000,7.650000,7.650000,1855100
2020-04-03,7.480000,7.910000,7.120000,7.350000,7.350000,1510000
2020-04-06,7.990000,9.390000,7.990000,9.350000,9.350000,1804800
2020-04-07,10.270000,10.760000,9.230000,9.310000,9.310000,1556100
2020-04-08,9.720000,10.940000,9.280000,10.840000,10.840000,1633100
2020-04-09,11.580000,13.550000,11.410000,12.490000,12.490000,3164600
2020-04-13,12.290000,12.360000,10.985000,11.260000,11.260000,1618000
2020-04-14,11.350000,12.050000,11.000000,11.170000,11.170000,1420400
2020-04-15,10.240000,10.750000,10.050000,10.510000,10.510000,1588100
2020-04-16,10.420000,10.580000,9.850000,10.330000,10.330000,1139900
2020-04-17,10.950000,11.640000,10.760000,11.190000,11.190000,1107900
2020-04-20,10.530000,11.110000,10.360000,10.750000,10.750000,2081800
2020-04-21,11.440000,11.880000,10.770000,11.560000,11.560000,2121700
2020-04-22,11.840000,11.900000,10.975000,11.260000,11.260000,1396100
2020-04-23,11.660000,12.500000,11.450000,12.160000,12.160000,1506000
2020-04-24,12.500000,12.650000,12.145000,12.360000,12.360000,978300
2020-04-27,12.110000,13.470000,12.110000,13.020000,13.020000,1645600
2020-04-28,13.740000,14.140000,13.120000,13.970000,13.970000,3023600
2020-04-29,14.540000,15.875000,14.040000,15.810000,15.810000,2593300
